,,,,,,,pixels/mm,,
,Left,,Right,,,,,,
,,,,,,,,,
Boom (800mm),85,,1927,,,,2.3025,,
,,,,,,,,,
Element Lengths,,,,,,,,,
,,,,,,,,,
,Top,,Centre,,Bottom,,,,
,,,,,,,,,
Reflector,401,,664,,913,,222.366992399566,,220
,,,,,,,,,
Driven,449,,667,,887,,190.228013029316,,190
Element,,,,,,,,,
,,,,,,,,,
Director1,491,,663,,840,,151.57437567861,,150
,,,,,,,,,
Director2,491,,663,,839,,151.14006514658,,150
,,,,,,,,,
Director3,505,,661,,826,,139.413680781759,,140
,,,,,,,,,
Director4,501,,661,,824,,140.28230184582,,140
,,,,,,,,,
Director5,501,,660,,822,,139.413680781759,,140
,,,,,,,,,
Director6,499,,661,,823,,140.71661237785,,140
,,,,,,,,,
,,,,,,,,,
Element spacing,,,,,,,,,
,,,,,,,,,
Reflector,,,464,,,,,,
,,,,,,,120.304017372421,,120
Driven,,,741,,,,,,
Element,,,,,,,59.0662323561346,,60
,,,,,,,,,
Director1,,,877,,,,,,
,,,,,,,79.0445168295331,,80
Director2,,,1059,,,,,,
,,,,,,,88.599348534202,,90
Director3,,,1263,,,,,,
,,,,,,,89.4679695982628,,90
Director4,,,1469,,,,,,
,,,,,,,89.9022801302932,,90
Director5,,,1676,,,,,,
,,,,,,,89.0336590662324,,90
Director6,,,1881,,,,,,
